Tweet,Neutro,Negativo,Positivo
@AS_Manolete Y con el atleti podemos soñar otra vez? ese no lo has incluido en los miuras 😳😳😳😳😳😳😳😳😳😳😳😳,0.5173783515392254,0.48262164846077454,0.0
@eSports_Barca @MNDZPAU1 Md,1.0,0.0,0.0
Ahhhh claro que es del Atleti https://t.co/xm4PU8C9jl,1.0,0.0,0.0
"Que venga Arthur me tiene más emocionado que cualquier otro fichaje que llegue, más que Griezmann. Es perfecto para nuestro juego más las ganas que tiene de jugar ya en el Barça 🔵🔴",0.0,0.0,1.0
Me ha gustado un vídeo de @YouTube (https://t.co/f52V3WNuX5 - Noche de emociones en la remontada histórica del Barça).,0.0,0.0,1.0
La 'rajada' de un ex objetivo del Barça sobre Emery y el jeque https://t.co/8oXS0aprS7,0.0,1.0,0.0
"#Deportes ➡️ Hace 17 años, Messi por primera vez se puso la del Barça: El club blaugrana publicó un video muy especial para celebrar los primeros pasos de Lionel en la institución catalana Hace 17 años, Lionel Messi comenzaba a hacer de… https://t.co/xFHPdToMsd ⬅️ #Entérate https://t.co/kXksLJEK3i",0.0,0.0,1.0
@marcmarquez93 @3gerardpique @SergiRoberto10 @JordiAlba @miguelruizfcb @SChecoPerez @FCBarcelona Si pagárais las deudas.....? Tendremos los Españoles aseguradas las pensiones. Viva España.,0.0,0.48262164846077454,0.5173783515392254
Gerard Piqué confirma la primera fuga sonada del Barça: está fuera https://t.co/coDRPeKc45,0.5173783515392254,0.48262164846077454,0.0
"Sin embargo el balance de Ligas va ser 3-1 para el Barça, el torneo de la regularidad donde pesa más la plantilla que en Champions

Pero para poder seguir con la crítica, asumiendo el discurso de que solo cuenta la Champions

Pd: es súper responsable Paulinho de esos 4 años sí https://t.co/Bya3SxLjmj",0.0,0.48262164846077454,0.5173783515392254
"@adrielarduino Yo soy del Barça, hinchaba por Neymar",0.5173783515392254,0.48262164846077454,0.0
"Ya Dani Alves ve al Madrid y se caga encima el cabron, se lo ha clavao en el Barça, en la Juve y ahora en el PSG 😁",0.0,0.5173783515392254,0.48262164846077454
"Nuestra prensa en lugar de ser la prensa del Barça, es la del PSG y el  Real Madrid, increíble, que les den por viento a los dos equipos y que  les vaya lo peor posible",0.0,1.0,0.0
@ALEX15vs @FCBarcelona_es @FCBarcelona Coño sin ampliar parecía un preso,0.48262164846077454,0.5173783515392254,0.0
