Tweet,Info,Info2
"@Atletico1012 @TheRealGansuuss En dias como hoy te das cuenta porque el R. Madrid es el Rey de Europa, mientras que el Atleti y su afición no pasa de ser un equipo mediocre y segundón.",NoNeutro,Negativo
"Hace 17 años, #Messi inició su camino con el @FCBarcelona
https://t.co/9TSP6Esn49 https://t.co/yOGOjncYXV",NoNeutro,Positivo
"@jmdelalamo No me gusta el futbol, y el Barça tampoco. Pero pregunto: porque son todo hombres? No debería de haber equipos 50/50? Espera...y los LGTB? ...25/25/25/25? Espera....y animales? Vamos, no se...",NoNeutro,Negativo
"Neymar se fue al PSG en busca de “títulos”, sin valorar grandeza del Barça y de su afición. Faltó al respeto y jugó con las ilusiones de la gente y ahora, 6 meses después de su marcha, está en el lugar que merece. El tiempo siempre pone a cada uno en su lugar�� https://t.co/teeLdFcMat",NoNeutro,Negativo
"@ALEX15vs @FCBarcelona_es @FCBarcelona Que noooo, así nos saca unas risas ������",NoNeutro,Positivo
"@SantiagoSty Creo q ustedes son del Madrid y quieren sacarse en clavo de esta temporada Jajajajaja ,total siempre postean cosas de ese equipo a favor y en contra del barca chupalo.",NoNeutro,Negativo
@MrPortadas Imagínate los que escribe Pedrerol cuando el Barça de folla al Madrid en la razón...,NoNeutro,Negativo
"El Barça eliminó al PSG remontando un (4-0, nunca visto en la historia) por el árbitro. El Madrid elimina al PSG por la mística, el ADN y su orgullo. Los mismos que han ganado por 1gol en el 93 y otra a penaltis. 
Griezzman falló el penalti y Vidal el suyo por el ADN blanco ����",Neutro,Neutro
"@GallardoX13 @TOTWprediccion Te repito, después de ganar al atleti y quitarles el invicto a la semana siguente no sacamos IF, lo mismo ha pasado con el madrid y con el barça",Neutro,Neutro
@jorgeshrug Me has visto alguna vez celebrando la realmadrididación extrema que está experimentando el Barça desde la llegada del puto mafias Rosell y su numero dos Nobita?,NoNeutro,Negativo
"#BolitaPorfavorINFORMA: ����⚽ 
Futbol Internacional (Messi)

Hoy se cumplen 17 años del debut de Lionel #Messi con el equipo juvenil del @FCBarcelona 

Ahora es el máximo goleador en la historia del club. https://t.co/uYkSiz81Bk",NoNeutro,Positivo
"@Juezcentral @Kauslu_ No pusieron los 5 al barca
AH NO PARAA",Neutro,Neutro
¡Me voy a ver un partidazo! ¡Participa ahora con #FútbolVipAppMiVodafone y gana 2 entradas VIP para el derbi entre el Real Madrid y el Atleti! https://t.co/2kfjgOQz6J,NoNeutro,Positivo
Iniesta inicia su plan en la Ciutat Esportiva para llegar al Barça-Chelsea @mundodeportivo https://t.co/KtYJpjFTIM,Neutro,Neutro
"@IPradio Acaba de perder con Argentinos, empató con Alianza Lima pero podría ser CAMPEÓN Y SUPERAR AL BARCA, LA JUVE Y EL MAN U. Todo muy tranquilo.",NoNeutro,Positivo
@1899barsa Si pero el Madrid con Benzemalo y con el equipo B es capaz de tumbar a cualquier club de Europa simplemente por el miedo que los rivales le tienen y por el fútbol a la contra que hace sin embargo el barça se piensa demasiado las jugadas y eso a veces no sirve,NoNeutro,Negativo
@Eribert42354852 El Barca aparte de ganar eso ha dominado el fútbol. Nunca en la historia se había visto el fútbol que se jugo con Pep Guardiola.,NoNeutro,Positivo
El técnico de la Premier al que no le halaga sonar para el Barça #20m https://t.co/xmuVGPRzar,Neutro,Neutro
@LuisOmarTapia Se le salió la barcelonitis al madridista omar tapia. Lastima se le tenia mucho respeto. Un madridista más que solo ataca todo lo que tenga que ver con el presente o pasado del Barça .,NoNeutro,Negativo
"@wahou_wahou64 @jg_dominguez Soy más de motos... pero si, del barça. Usted camina mucho por mis tierras? Hoy me he cruzado con 17 críos en pocos minutos. Sólo una se expresaba en catalán, de verdad cree que está en peligro el castellano con la inmersión?",Neutro,Neutro
"@FOXSportsArg Disculpen ... pero esto se ve que es bien rioplatense, por no decir argentino ... Boca 30 % ? Con todo el respeto que me merece Boca, estan 3 goles abajo de la Juve ... y no quiero pensar cuantos abajo del Barca y el City !!!",NoNeutro,Negativo
Un inglés en el Barça 29 años después de Gary Lineker https://t.co/p2iL1pIKbM https://t.co/ARuCnGSVRo,Neutro,Neutro
"Víctor Claver, gustándose: El ala-pívot del Barça Lassa encuentra el camino libre hacia el aro y machaca plásticamente a una mano https://t.co/UCojKnj0qR",Neutro,Neutro
"¡TREMENDO! �� La brutal exhibición de Koke en el rondo del entrenamiento. ��⚽
#Atleti #UEL ➡️ https://t.co/QXtAAzb9Px https://t.co/971sGBX6GJ",NoNeutro,Positivo
@memescastilla @AsturianMemes ¿por qué @Espball va en una barca y en mitad del mar?,Neutro,Neutro
"@marcmarquez93 @3gerardpique @SergiRoberto10 @JordiAlba @miguelruizfcb @SChecoPerez @FCBarcelona Pobre Catalán!! Eres uno de esos del lazo Amarillo.
Qué tanto odian a España y al Rey.",NoNeutro,Negativo
@ALEX15vs @FCBarcelona_es @FCBarcelona Pero que te crees? Xk os sorprende lo de este tipo? Q te crees q es george clooney? Es 1 paleto de mierda d sevilla...,NoNeutro,Negativo
@Blogcelonista Entonces Arthur ya esta prácticamente cerrado porque se corre el rumor que no llegaron a ningún acuerdo y se regresan a Brazil hablan de negociaciones rotas y que van a negociar con algún otro club para mi es extraño ya que el propio jugador a hablado abiertamente del Barça,Neutro,Neutro
Abrirán otra vez la taquilla para las entradas del Barça vs Chelsea?@FCBarcelona_es ��,NoNeutro,Negativo
@eSports_Barca @LitLegend_77,Neutro,Neutro
@FOXSoccer @TeamMessi @FCBarcelona Fox our barca cock suckers,Neutro,Neutro
"�� 'No me representan'

���� ""No estuvo acertado, eso es cierto. Como no lo ha estado casi nunca en el año y medio que lleva en ‘Can Barça’""

✍️ Sobre @aftgomes, por @SergioMerino8

��https://t.co/MLOFZiiIUn https://t.co/7hcMpSfCeo",Neutro,Neutro
@GiuStyleHD Siento que va hacer el caballo negro creo que puede llegar hasta las semis. Saludos,Neutro,Neutro
"@Calieiro @LaLiga @LeaguePremierBR Correcto, Mbappe jugara en Madrid-Barça o el que no este mas arriba en Inglaterra. En el Madrid le ofrecian sueldo similar al psg segun habia leido y si se fue ahi es xq es joven e iba jugar todo y estaba en su país. En el Madrid no se lo aseguraban. Tiempo al tiempo.",Neutro,Neutro
"@maldiniplus Como dijo Draxler, el planteamiento era una vergüenza; ir a remontar un 3-1 y no presionar en absoluto... El madrí jugó más cómodo q en un entreno. Comparar lo q han corrido ayer con el 4-0 al Barça del año pasado es ver a un equipo de infantiles ciegos y otro q parecían perros.",NoNeutro,Negativo
@LVPibai @cojoneslml De camino al Barça-Espanyol.,Neutro,Neutro
Y os lo dice alguien que quiere ver a André Gomes lejos del Barça lo antes posible,Neutro,Neutro
@javirm1993 El Espanyol ha sacado más puntos contra el Madrid que contra el Barça. Por no hablar de que la Copa del 2000 se consiguió tras eliminar a los blancos en semifinales. Pero la propaganda es lo que tiene. Ahora resulta que el Espanyol está obligado a ganar al mejor equipo del mundo.,Neutro,Neutro
"@AS_Manolete Jajaja pero no era el PSG el miura? Y el año pasado el Bayern, la Juve o tu Atleti? A ver si va a resultar que el miura es el Madrid. En el extranjero nadie quiere al Madrid en el sorteo. Suerte con tu antimadridismo lo superarás. Bebe mucha agua no lo olvides.",NoNeutro,Positivo
"@NostradamusFCB Si parce que miedo, sólo el barca o el city serían capaces de pararlos, esos desgraciados nacieron pa jugar la champions",Neutro,Neutro
"A todos esos de la caverna que me escriben. No es por ser prepotente, pero les digo que el Barça va de 1ro, ni se a cuantos puntos del 3ro, finalista de copa y en vísperas de 4tos. En champions. Ahhh y se llevaron 3 en el bernaLeo. A MAMAR.",NoNeutro,Negativo
VIDEO: La brutal exhibición de Koke en el entrenamiento de hoy https://t.co/ZfadIgOaJN https://t.co/7lHQehoYec,NoNeutro,Positivo
"@RoussGame Te as enterado que an robado en la tienda del atleti
Creo que era la tienda. 
La verdad que hay poca vigilancia en vuestro estadio 
Y mañana tener cuidadito que e visto videos de los ultras rusos de mañana y son como los de bilbao",Neutro,Neutro
"@AS_Manolete En el anterior sorteo de Champions, el chollo del #PSG era el que querías para el #Atleti, no?",Neutro,Neutro
"@DiegoACarranza7 @laligaennumeros Ojalá hubiese venido al Barça, de los pocos jugadores del Madrid que me enamora verle jugar y no le puedo hatear... Pero Gomes es mejor...",NoNeutro,Positivo
DRAXLER EXPLOTA vs el PSG | BALOTELLI ‘manda CALLAR’ a DANI ALVES | ¿ADIÓS MAHREZ? | ROBO al ATLETI: https://t.co/jRGp3cgiQo a,NoNeutro,Negativo
"André Gomes no está dando el nivel pero los abucheos que recibió el otro día son una vergüenza. Se le puede achacar cualquier cosa pero no que no sea profesional y quiera lo mejor para el Barça. No como los que pitan. Ellos no me representan.

▶️ https://t.co/Z4oboyWW9T https://t.co/hlQqPENucU",NoNeutro,Negativo
"@Toninozzr @jg_dominguez Como todo demagogo, mezcla valores y política. No será Ud del Barça por casualidad?",NoNeutro,Negativo
@GolCaracol Quería ser el mejor te fuites del barca ahora tienes q esperar otra champions para ver si te las puedes ganar o si ganas el mundial y le veo difícil,NoNeutro,Negativo
@EstedeRacing No me digas que te ofendió mi comentario al barça ������,Neutro,Neutro
@luissuazo_ @AdrySentinel @2010MisterChip @Cas_RM Contra un barça en estado de shock por la salida de Neymar y un delofeu en ataque e intrascendente,Neutro,Neutro
"Hace 17 años, Messi por primera vez se puso la Barça - ESPN https://t.co/WsIFpdCxg1",Neutro,Neutro
EL DIRECTO EN EL QUE DjMaRiiO USÓ LA CAMISETA DEL BARÇA: https://t.co/kOn0qddT7k via @YouTube,Neutro,Neutro
"@DiegoACarranza7 Le encanta la fiesta, póker, IG y su hermana... Les dará más dolores de cabeza. A mi, personalmente me hizo rabiar más de lo que sentí que dió al Barça. 1 año bueno de 4.",Neutro,Neutro
"@DiegoACarranza7 FloPer sabe que el Madrid tiene que renovarse y este año si el Madrid no gana la CL es un fracaso. Año en blanco con esta generación es malo, no, malísimo. Reventará el mercado con Ney y Neymar, lo he dicho mil veces y desde que estaba en el Barça, es un pufo con mucho marketing.",NoNeutro,Negativo
"En esta temporada, City Vs Barça https://t.co/aiqoaH0Rw5",Neutro,Neutro
"@FCBarcelona algunos llorando por que no tienen tiempo para descansar, les pediría que viviesen un poco en el mundo de la gente normal aquella que se lava la ropa hace la comida y va a trabajar, por supuesto con sueldos normales y corrientes #sinolodigoreviento #behumble",Neutro,Neutro
